Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.,
123456780,123485076,12,9,45307,Down->Right->Up->Right->Left->Down->Left->Up->Right->Right->Left->Left->DONE,12,9,50116,Down->Right->Up->Right->Left->Down->Left->Up->Right->Right->Left->Left->DONE,
123456780,152043786,14,11,60526,Down->Down->Right->Up->Right->Left->Down->Left->Up->Down->Up->Up->Right->Left->DONE,14,11,65116,Down->Down->Right->Up->Right->Left->Down->Left->Up->Down->Up->Up->Right->Left->DONE,
123456780,123456708,6,3,18888,Right->Right->Left->Left->Right->Left->DONE,6,3,19240,Right->Right->Left->Left->Right->Left->DONE,
123456780,102463758,18,11,83379,Right->Down->Left->Down->Right->Left->Up->Right->Down->Up->Right->Left->Down->Up->Up->Left->Right->Left->DONE,18,11,93508,Right->Down->Left->Down->Right->Left->Up->Right->Down->Up->Right->Left->Down->Up->Up->Left->Right->Left->DONE,
123456780,103526478,10,11,76035,Right->Right->Down->Left->Down->Up->Right->Up->Left->Left->DONE,10,11,78703,Right->Right->Down->Left->Down->Up->Right->Up->Left->Left->DONE,
123456780,123450786,10,3,22652,Down->Down->Right->Right->Left->Left->Up->Right->Left->Up->DONE,10,3,20275,Down->Down->Right->Right->Left->Left->Up->Right->Left->Up->DONE,
123456780,123456708,4,3,18449,Right->Left->Right->Left->DONE,4,3,18082,Right->Left->Right->Left->DONE,
123456780,123405786,8,6,37455,Down->Right->Down->Up->Left->Down->Up->Up->DONE,8,6,46606,Down->Right->Down->Up->Left->Down->Up->Up->DONE,
123456780,123456708,10,3,20973,Right->Down->Down->Up->Up->Left->Right->Left->Down->Up->DONE,10,3,27789,Right->Down->Down->Up->Up->Left->Right->Left->Down->Up->DONE,
123456780,123056478,6,6,37941,Right->Right->Down->Up->Left->Left->DONE,6,6,42158,Right->Right->Down->Up->Left->Left->DONE,
123456780,123746058,8,9,64704,Right->Down->Right->Up->Down->Left->Up->Left->DONE,8,9,62453,Right->Down->Right->Up->Down->Left->Up->Left->DONE,
123456780,152403786,14,9,69292,Down->Down->Right->Up->Left->Right->Up->Down->Down->Up->Down->Left->Up->Up->DONE,14,9,69011,Down->Down->Right->Up->Left->Right->Up->Down->Down->Up->Down->Left->Up->Up->DONE,
123456780,103426758,10,8,54078,Right->Down->Down->Left->Right->Up->Left->Right->Up->Left->DONE,10,8,54260,Right->Down->Down->Left->Right->Up->Left->Right->Up->Left->DONE,
123456780,123456708,6,3,19121,Right->Right->Down->Up->Left->Left->DONE,6,3,19273,Right->Right->Down->Up->Left->Left->DONE,
123456780,123485760,10,11,74487,Down->Right->Up->Left->Right->Down->Left->Up->Down->Up->DONE,10,9,65774,Down->Right->Up->Left->Right->Down->Left->Up->Down->Up->DONE,
123456780,123450786,6,3,15616,Down->Right->Left->Up->Right->Left->DONE,6,3,17789,Down->Right->Left->Up->Right->Left->DONE,
123456780,123405786,10,6,64103,Down->Right->Down->Right->Left->Up->Left->Up->Down->Up->DONE,10,6,48608,Down->Right->Down->Right->Left->Up->Left->Up->Down->Up->DONE,
123456780,23156478,8,7,57278,Right->Right->Down->Down->Up->Up->Left->Left->DONE,8,7,54765,Right->Right->Down->Down->Up->Up->Left->Left->DONE,
