Goal,Initial,Mis. Path Cost,Mis. # Nodes,Mis.Time,Mis. Seq.,Man. Path Cost,Man. # Nodes,Man.Time,Man. Seq.
123456780,123406758,13,6,29541,Right->Down->Left->Right->Up->Right->Left->Right->Left->Down->Down->Up->Up->DONE,13,6,29418,Right->Down->Left->Right->Up->Right->Left->Right->Left->Down->Down->Up->Up->DONE
123456780,152483706,13,11,73472,Down->Down->Right->Up->Up->Down->Down->Left->Up->Up->Right->Down->Up->DONE,13,11,100853,Down->Down->Right->Up->Up->Down->Down->Left->Up->Up->Right->Down->Up->DONE
123456780,136420758,13,11,62167,Right->Down->Down->Left->Up->Down->Right->Left->Right->Left->Right->Up->Up->DONE,13,11,56882,Right->Down->Down->Left->Up->Down->Right->Left->Right->Left->Right->Up->Up->DONE
123456780,413026758,15,11,136353,Right->Down->Down->Right->Up->Down->Up->Down->Left->Up->Right->Left->Up->Right->Left->DONE,15,11,155106,Right->Down->Down->Right->Up->Down->Up->Down->Left->Up->Right->Left->Up->Right->Left->DONE
123456780,253016478,15,25,308361,Right->Right->Down->Down->Left->Up->Right->Left->Down->Right->Up->Up->Left->Down->Up->DONE,15,18,236000,Right->Right->Down->Down->Left->Up->Right->Left->Down->Right->Up->Up->Left->Down->Up->DONE
123456780,102483765,15,27,254910,Down->Right->Up->Left->Down->Down->Right->Left->Up->Up->Right->Down->Left->Up->Right->DONE,15,14,150902,Down->Right->Up->Left->Down->Down->Right->Left->Up->Up->Right->Down->Left->Up->Right->DONE
123456780,413026758,15,11,64230,Right->Down->Down->Right->Up->Down->Left->Right->Left->Up->Down->Right->Left->Up->Up->DONE,15,11,63553,Right->Down->Down->Right->Up->Down->Left->Right->Left->Up->Down->Right->Left->Up->Up->DONE
123456780,103526478,15,11,59732,Right->Right->Down->Left->Down->Up->Right->Up->Left->Down->Left->Up->Down->Right->Up->DONE,15,11,64826,Right->Right->Down->Left->Down->Up->Right->Up->Left->Down->Left->Up->Down->Right->Up->DONE
123456780,123046758,15,8,58963,Right->Down->Right->Down->Left->Right->Up->Left->Up->Left->Right->Right->Left->Right->Left->DONE,15,8,73047,Right->Down->Right->Down->Left->Right->Up->Left->Up->Left->Right->Right->Left->Right->Left->DONE
123456780,162403758,15,21,129319,Right->Down->Left->Down->Right->Up->Down->Left->Right->Right->Left->Left->Up->Right->Up->DONE,15,17,94320,Right->Down->Left->Down->Right->Up->Down->Left->Right->Right->Left->Left->Up->Right->Up->DONE
123456780,123485076,15,9,46120,Down->Right->Up->Right->Left->Left->Right->Down->Left->Down->Right->Left->Up->Up->Right->DONE,15,9,78956,Down->Right->Up->Right->Left->Left->Right->Down->Left->Down->Right->Left->Up->Up->Right->DONE
123456780,13426758,15,9,71614,Right->Down->Down->Right->Left->Right->Up->Down->Up->Down->Left->Up->Up->Left->Right->DONE,15,9,77365,Right->Down->Down->Right->Left->Right->Up->Down->Up->Down->Left->Up->Up->Left->Right->DONE
123456780,123576408,15,13,167256,Right->Right->Down->Left->Up->Down->Right->Up->Down->Up->Left->Left->Down->Up->Right->DONE,15,12,100363,Right->Right->Down->Left->Up->Down->Right->Up->Down->Up->Left->Left->Down->Up->Right->DONE
123456780,236105478,15,15,106543,Right->Right->Down->Down->Left->Left->Up->Right->Left->Down->Right->Right->Up->Up->Left->DONE,15,15,86524,Right->Right->Down->Down->Left->Left->Up->Right->Left->Down->Right->Right->Up->Up->Left->DONE
123456780,123406758,17,6,56052,Right->Down->Up->Down->Left->Up->Down->Down->Right->Right->Left->Left->Right->Left->Up->Right->Up->DONE,17,6,62826,Right->Down->Up->Down->Left->Up->Down->Down->Right->Right->Left->Left->Right->Left->Up->Right->Up->DONE
123456780,23146758,17,9,47869,Right->Down->Right->Down->Left->Right->Up->Up->Down->Up->Down->Left->Left->Right->Up->Left->Right->DONE,17,9,56326,Right->Down->Right->Down->Left->Right->Up->Up->Down->Up->Down->Left->Left->Right->Up->Left->Right->DONE
123456780,203156478,17,9,93452,Right->Right->Down->Down->Left->Right->Up->Up->Left->Right->Down->Down->Up->Up->Down->Up->Left->DONE,17,9,87033,Right->Right->Down->Down->Left->Right->Up->Up->Left->Right->Down->Down->Up->Up->Down->Up->Left->DONE
123456780,412583706,17,14,71712,Down->Down->Right->Right->Up->Left->Up->Down->Right->Down->Left->Left->Up->Up->Right->Right->Left->DONE,17,14,72676,Down->Down->Right->Right->Up->Left->Up->Down->Right->Down->Left->Left->Up->Up->Right->Right->Left->DONE
123456780,136428750,19,14,275417,Right->Down->Down->Left->Up->Up->Down->Right->Left->Right->Left->Right->Up->Down->Left->Down->Right->Up->Up->DONE,19,12,192723,Right->Down->Down->Left->Up->Up->Down->Right->Left->Right->Left->Right->Up->Down->Left->Down->Right->Up->Up->DONE
123456780,102463758,19,11,125470,Right->Down->Left->Down->Right->Right->Left->Left->Right->Left->Up->Down->Up->Down->Up->Down->Up->Right->Up->DONE,19,11,118195,Right->Down->Left->Down->Right->Right->Left->Left->Right->Left->Up->Down->Up->Down->Up->Down->Up->Right->Up->DONE
123456780,123508467,19,46,277977,Right->Right->Down->Left->Left->Up->Right->Down->Up->Left->Down->Right->Right->Down->Up->Up->Down->Up->Left->DONE,19,22,129702,Right->Right->Down->Left->Left->Up->Right->Down->Up->Left->Down->Right->Right->Down->Up->Up->Down->Up->Left->DONE
123456780,236048175,23,91,1227947,Right->Down->Right->Down->Left->Left->Up->Up->Right->Right->Down->Up->Down->Up->Left->Left->Down->Down->Right->Right->Up->Left->Up->DONE,23,30,538983,Right->Down->Right->Down->Left->Left->Up->Up->Right->Right->Down->Up->Down->Up->Left->Left->Down->Down->Right->Right->Up->Left->Up->DONE
